순위,제목,가수
1,Blueming,아이유
2,늦은 밤 너의 집 앞 골목길에서,노을
3,Love poem,아이유
4,이 번호로 전화해줘,바이브
5,HIP,마마무(Mamamoo)
6,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션)
7,시간의 바깥,아이유
8,"인기 (Feat. 송가인, 챈슬러)",MC몽
9,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준
10,새 사랑,송하예
11,조금 취했어 (Prod. 2soo),임재현
12,사랑이란 멜로는 없어,전상근
13,unlucky,아이유
14,있어줘요,장덕철
15,불티 (Spark),태연 (TAEYEON)
16,"Into the Unknown (From ""Frozen 2""/Soundtrack Version)",Idina Menzel
17,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB)
18,안녕,폴킴
19,시든 꽃에 물을 주듯,HYNN (박혜원)
20,이별주,황인욱
21,그 사람,아이유
22,포장마차,황인욱
23,니 소식,송하예
24,자장가,아이유
25,차가워진 이 바람엔 우리가 써있어(Bad Love),HYNN (박혜원)
26,2002,Anne-Marie
27,워커홀릭,볼빨간사춘기
28,LION,(여자)아이들
29,샤넬 (Feat. 박봄),MC몽
30,사랑에 연습이 있었다면 (Prod. 2soo),임재현
31,작은 것들을 위한 시 (Boy With Luv) feat. Halsey,방탄소년단
32,기억해줘요 내 모든 날과 그때를,거미
33,다시 만날까 봐,V.O.S
34,허전해,폴킴
35,사랑이 식었다고 말해도 돼,먼데이 키즈 (Monday Kiz)
36,가을밤 떠난 너,케이시 (Kassy)
37,Señorita,Shawn Mendes
38,BAND,창모 (CHANGMO)
39,술이 문제야,장혜진
40,bad guy,Billie Eilish
41,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
42,헤어지자 (Prod. 정키),휘인 (Whee In)
43,Feel Special,TWICE (트와이스)
44,우리 어떻게 할까요,첸 (CHEN)
45,그대라는 시,태연 (TAEYEON)
46,"Show Yourself (From ""Frozen 2""/Soundtrack Version)",Idina Menzel
47,꿈속에 너 (Feat. 전상근),에이치코드 (H:CODE)
48,떨어지는 낙엽까지도,헤이즈 (Heize)
49,영화 속에 나오는 주인공처럼,펀치 (Punch)
50,벗,닐로(Nilo)
